"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"ctrip",0.748307138512274,0.401088714080771,0.997493496319109,0.675430448301864,0.334871685831351,0.528514927739568,0.508810464874158,0.598184869740661,0.651186636751559,0.483336842288663,0.437178381933204,0.804074988877289,0.979009738903798,0.681628449187086,0.104769473247876,0.410553532688032
"Hus1-like",0.167799748875715,0.103692544203573,0.139499955543244,0.105650309495437,0.0268374511898598,0.0510280649452325,0.167727079026851,0.116797170564449,0.0659056301277349,0.0705917993113822,0.01128898220149,0.176412472335817,0.111154063300033,0.221728268977627,0,0.0722879588772714
"CG1129",0.288142865574966,0.0205819641225931,0.174698304455116,0.0583435873239954,0.227594853841772,0.2722026747418,0.23405010658668,0.193106049926122,0.622473185758061,0.601501664605962,0.0108448811509048,0.402410229820067,0.248159889767967,0.189003580019943,0.473972358586677,0.0281339482501591
"CG1126",0.0040630083531116,0,0,0.0303648144879226,0.00226750714640425,0.0033148380270526,0.00969773140969133,0.032125875471308,0,0.000667099396901043,0.00461727969160326,0.0413250304664424,1.09153020316485,0,0,0.00608373763412154
"CG14657",0.250216970406593,0.00718411448604845,0.0969101555756144,0.0307404960758119,0.0548471762790599,0.114392549495671,0.410003354501647,0.0578957416951525,0.0824456962270505,0.0888052072877764,0.0196862383591109,0.0712390721105118,0.10628445788305,0.0491063470982069,0,0.0160185822100355
"CG14658",0.000105872850665995,0,0,0.000211632454023061,0,0,0,0,0,0,0,0,0,0,0,0
"CG14659",0,0,0,0,0,0,0.00519179260657582,0,0,0,0,0,0,0,0,0
"opa",0.166391861602376,0,0.035636583905094,0.0585757825885592,0.00883435990692647,0.00360146478775848,0.0028985675279277,0.0541590108627093,0,0.0269000841740654,0.00813397630721123,0.0062128008548814,0.0359912100462718,0,0,0.00908689618809579
"laf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR45580",0.000391372268301976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnf1",0.223820178892729,0.0149927126621787,0.172789808714835,0.0708161346948416,0.178677578842953,0.0770048558303399,0.400783047413143,0.107329391196854,0.10691548614307,0.0928071503689535,0.0428267604087464,0.140834277876724,0.106353272990677,0.136591468642526,0.00866646502691371,0.0260691337211292
"Cdep",0.831167104824844,0.0226317699935694,0.631197952208238,0.328629679098839,0.186946236028683,0.598188737923228,0.293519448524179,1.3238298105835,0.739205682945808,0.507148884678166,0.106855959737289,0.327429050382219,0.779894443267932,0.371311780848348,0.0469723943238559,0.307191405915607
"CR45188",0.00511016831343234,0,0.0163027208428063,0.00980628145903289,0.00682852576420721,0,0,0.0629302761331126,0.0274281074929611,0.0116041103241561,0.00450831424734041,0,0.0251524546588671,0.0108637310275629,0,0.0213284660074478
"snRNA:U1:82Eb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubc6",1.92773789436742,0.532428163613601,1.55141309456325,1.48518704922799,0.434641303351571,0.59496815677461,0.959853949227774,1.33498366024193,0.73062968627356,0.617061542471162,0.761280084263759,0.906578929075994,3.6692605086599,1.03978250551249,0.290000334967178,0.940479934831914
"CG14661",0.00144486790429781,0,0.00125941332748966,0.00139163934822346,0,0,0.00433555646216858,0,0,0,0,0,0.000866158465510198,0,0,0
"CG2016",0.0568602200949696,0.00561507535431125,0.361571213426132,0.806178057183014,0.00786628168255766,0.00719374471988169,0.00670911748939456,0.0265157941837268,0.0512001360190789,0.00754783912974822,0.0163017749501779,0.837059969736143,0.237018222682744,0.296939936795606,0,5.47803376590399
"CG1124",7.46255798389204,0.0208752639303848,0.365863103220074,0.0643184261119101,0.249444357129758,0.0497275757769843,0.115712024591371,1.42109673724761,0.0383621676894379,0.074701848385616,0.156130213187777,0.137301297437963,0.204974956164375,2.42464527093029,0.059756209271654,0.0567962853237108
"CG14662",0.003236362811941,0,0,0.000541096999929749,0.000372917618694271,0,0,0,0,0.0174934407453684,0,0,0.00210752327960113,0.00342154533410706,0,0.00123553762890712
"CR43478",0.000139832672029669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR43424",0.000521438120077917,0,0,0,0,0,0,0,0,0,0,0,0.00118523224329499,0,0,0
"plh",0.00257069517930541,0,0.00378582638224983,0.00469435077759863,0.000234225119711873,0,0,0.00279398990419688,0.00196310304683118,0,0.00296070405542438,0.00667089156465762,0.0195122218903585,0.0205611509650528,0,0.00250401776875554
"CR45585",0.000540925356855723,0,0.000569626728162049,0.00062895073851156,0.000154735684063404,0,0,0.00248858300332649,0,0,0,0,0.00315290630440401,0,0.0259993950807411,0.0113204889678782
"CR43635",0.00528194994972773,0.00709572128006812,0.00826202952873561,0.0598912976023176,0.000206043417654902,0,0.00336709746433991,0.00841132032172288,0.00255397935307418,0.000825316783142612,0.00557166679984931,0.0318335248377971,0.00541870331241152,0.00265003996260264,0.0303518692198659,0.00988839433053668
"CR45588",7.73280701992882e-05,0,0,0.00057981165398232,0,0,0,0,0.00106840460482385,0,0,0,0,0,0,0
"corto",3.4223145481506,1.05349952342413,2.43189448696628,3.13520789269515,0.629064883998151,0.311820476952979,0.740514492604959,1.45509638390409,0.631342712931255,0.233088469032765,0.443486308053191,1.64689459797436,1.809270505589,1.56994682520839,1.00015868785439,2.18348599060137
"CG43131",0.000980739489843236,0,0,0.00411065343539816,0.000441650504466456,0,0,0.000791655068919907,0,0.000370409551469592,0,0,0.00377761197240009,0.00564673782309222,0.0259993950807411,0
"CG12007",0.285648375291435,0.105325309675128,0.20567196343234,0.146536046853654,0.113972625934577,0.271394860718088,0.1494808698982,0.263434614773151,0.22392237150202,0.288962218693712,0.0936383890332445,0.174290531507965,0.341606483069318,0.201619530251717,0.00866646502691371,0.082585890147644
"CG12589",0.000112991389525059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dpr16",0.0857501509370737,0,0.000885403703803065,0,0.0028053596177363,0,0.0190846971646397,0,0,0.000421696024300486,0.00132419813182128,0,0.00418322355568541,0.0261062979324976,0,0
"CG12590",0,0,0.00400503352613565,0,0.00018251973471064,0,0.0159427056810393,0,0,0,0,0,0,0,0,0
"cno",0.324128252551226,0.024653081777023,0.433679638465382,0.411046233165541,0.0718724939262824,0.602256121693651,0.302083114697106,0.602165622493105,0.659198391971748,0.823234006405678,0.0338275413528215,0.295180315028201,1.17111022697166,0.206992009036272,0.343433604849132,0.576312107570777
"snRNA:U4atac",0.000979429446865486,0,0,0.00032629770227684,0,0,0,0,0,0,0,0,0.0002916945405108,0,0,0.00190443978237586
"Prosbeta2R2",0.00185286364377083,0,0,0.000303316670733132,0.000536488966926244,0,0.0139652923658525,0,0,0.000700237156320103,0,0,0.00242214360831791,0,0,0.000736064637386965
"CG1116",0.1718167205068,0.0198872745592314,0.0749364597611376,0.108839646494646,0.0564513273121027,0.0560188448860463,0.196130783725313,0.110149383111722,0.0887606209940389,0.0957157463879058,0.0179518491277454,0.139595847234119,0.121745517010729,0.170287098603085,0.159905037516142,0.0407649611622346
"CG2604",0.0627986091220245,0.00517302742118375,0.0349917788188185,0.0195319551767357,0.121094158185678,0.215435526876122,0.277240203443479,0.0321955494600202,0.166259954634406,0.352511042935181,0.00970756525367201,0.0369906040593235,0.0158817666917947,0.253266116870819,0,0.0038505439209471
"CG14664",0.00389278351296262,0,0,0.00297408617772652,0.00029850233548984,0,0,0.00512205141024957,0.00212815550457178,0.00082239381699384,0,0.0064597396724912,0.000975602427181767,0,0.00866646502691371,0
"Vps37B",0.763547130707112,0.610488759406862,0.814428103357967,0.69683967939478,0.267817253772501,0.346445469697908,1.04359763304047,0.777361198689668,0.439232540655599,0.467497402018683,0.231280937012023,0.562486463252655,0.816793368561815,0.767093345248872,0.0693702034666455,0.370710070357657
"Kat60",0.155824003655304,0.00834541702410885,0.103797209574407,0.111214826918069,0.0568762587920339,0.118933396312687,0.208531855102438,0.082359179505735,0.0930693188912398,0.135979824240367,0.0689669517251479,0.0783719363739395,0.131027188427682,0.0489380731025529,0,0.0343226445882632
"Mms19",0.110136800158196,0.0783500209321297,0.211577098211498,0.0526801165269105,0.167116216492796,0.123923368289792,0.179768262275314,0.209707215021884,0.0990089373484013,0.172282096506906,0.20531570031421,0.114681487625548,0.10604431888029,0.197083165136751,0.0643053243776833,0.0155514630787483
"rtp",0.01778818013038,0,0.00401586427021305,0.49761387145368,0.00157309498475215,0.00280296710886276,0,0.00513766086889823,0.00282727758839188,0.0319270910605636,0,0,0.0010024483969754,2.36840413960294,0,0.00534011658699297
